書名,頁,目次（NDL公開目次を整理したものです、頁はPDF物理頁、コメントなどはfukkoku@est.co.jpまで）
bit 1970年05月号,56,人工知能研究のめざすもの――ロボットの基礎科学……合田周平
bit 1970年05月号,67,Hidden Line Problem……高澤嘉光
bit 1970年05月号,73,素子の話③　半導体のなかの電子(1)――半導体工学において重要な役割を果たす種々の格子欠陥について知る…………武藤時雄
bit 1970年05月号,80,ぶっくす
bit 1970年05月号,82,ナノピコ教室
bit 1970年05月号,85,コンピュータと新しい化学……飯坂譲二
bit 1970年05月号,91,ナノピコ教室解答(2月号)……一松信 京都大学数理解析研究所
bit 1970年05月号,92,EDPすぽっと――プログラム登録集
bit 1970年05月号,94,コンピュータ・ニュース
bit 1970年05月号,96,読者の広場
bit 1970年05月号,98,コンピュータ紹介――hp Calculator 9100A
bit 1970年06月号,1,表紙
bit 1970年06月号,3,流れるホット・ライン――住友金属工業のプロセス・コントロール
bit 1970年06月号,9,目次
bit 1970年06月号,11,“良いプログラム”ということ……高橋秀俊
bit 1970年06月号,12,コボル入門③ 分類――計算機の中で分類がどう行なわれるかを知らなくてもプログラムは書ける……西村恕彦，植村俊亮
bit 1970年06月号,18,高性能OCRへの道……森俊二，野口義夫
bit 1970年06月号,26,LSD・マリワナ・コンピュータ……石川弘義
bit 1970年06月号,29,単語帖
bit 1970年06月号,30,チャールズ・バベジ(完)――協力者ラブレス夫人……赤木昭夫
bit 1970年06月号,42,コンピュータ・ナンセンス――ドラ・コン……ボオぬまた
bit 1970年06月号,44,アレフ・ゼロ
bit 1970年06月号,47,行動科学とはなにか……田中靖政
bit 1970年06月号,57,プログラマーのための統計入門⑥ 推定の理論(2)――望ましい性質をもつ推定量を求めるのには，どんな方法があるか…………門山允
bit 1970年06月号,67,シミュレーション言語① 総説(1)――応用プログラム言語シリーズの第一弾―シミュレーション言語入門……関根智明，若山邦紘，大瀬貴宏
bit 1970年06月号,75,ドクタービット
bit 1970年06月号,76,小さいが，大きい戦争……aSk
bit 1970年06月号,82,読者の広場
bit 1970年06月号,85,ナノピコ教室
bit 1970年06月号,86,ナノピコ教室解答(3月号)……伊理正夫 東京大学工学部
bit 1970年06月号,88,素子の話④ 半導体のなかの電子(2)――半導体とはなにか。そのなかでの電子のふるまいについて調べてみよう……武藤時雄，伊ヶ崎泰宏
bit 1970年06月号,96,新しいタイル張りパズル……有澤誠
bit 1970年06月号,98,情報処理技術者認定試験をふり返って……飯田次男
bit 1970年06月号,100,ぶっくす
bit 1970年06月号,102,コンピュータ・ニュース
bit 1970年07月号,1,表紙
bit 1970年07月号,3,CAIへの道――香川大学附属高松中学校の自動教育システム
bit 1970年07月号,9,目次
bit 1970年07月号,11,分類の論理……八杉龍一
bit 1970年07月号,12,コボル入門④ 親ファイルの更新――ファイルの内容を変更したり，伝票を発行したりすることは簡単にできる……西村恕彦，植村俊亮
bit 1970年07月号,20,熱力学第二則を学ぼう……村野賢哉
bit 1970年07月号,21,三次元関数の容姿① 特異点と鞍点――図形処理の基本的考え方やプログラム・テクニックの諸問題を知ろう……森口繁一，高澤嘉光
bit 1970年07月号,29,単語帖
bit 1970年07月号,30,視覚と情報……渡部叡，福島邦彦
bit 1970年07月号,39,プログラムの理論へ 計算の可能性①……堀端三十二
bit 1970年07月号,44,アレフ・ゼロ――THINK THINK TANK……J.A.
bit 1970年07月号,47,新しい建築設計の方法――プランニング・マシンの開発……平本一雄
bit 1970年07月号,54,ドクタービット
bit 1970年07月号,55,シミュレーション言語② 総説(2)シミュレーション言語に必要な機能とは。各種言語の性能を評価すると・・・・・・ ……関根智明，若山邦紘，大瀬貴宏
bit 1970年07月号,67,プログラマーのための統計入門⑦ 検定の理論――いろいろな仮説検定の方法とその利用，x2-分布，F-分布のことなど……門山允
bit 1970年07月号,73,川渡りパズルの回路設計……岸保左京
bit 1970年07月号,76,情報怪獣インフォルマのはなし……今飛雄太
bit 1970年07月号,78,ぶっくす
bit 1970年07月号,80,コンピュータ・ミュージック……今井恒雄
bit 1970年07月号,82,ナノピコ教室
bit 1970年07月号,85,素子の話⑤ ダイオードとトランジスタ(1)――真空管からダイオード，トランジスタヘ。回路素子の発達のあとをたどる……武藤時雄
bit 1970年07月号,92,ナノピコ教室解答(4月号)……島内剛一
bit 1970年07月号,94,コンピュータ・ニュース
bit 1970年07月号,96,読者の広場
bit 1970年07月号,98,コンピュータ紹介――SOBAX ICC-2500
bit 1970年08月号,1,表紙
bit 1970年08月号,3,紋様は語る――大阪府警察本部の指紋照合システム
bit 1970年08月号,11,目次
bit 1970年08月号,13,人とコンピュータとの争い……河田敬義
bit 1970年08月号,14,コボル入門⑤ 記号処理――ちょっと一服――コボルによる，言語や図形などの非数値処理の話……西村恕彦，植村俊亮
bit 1970年08月号,21,360アセンブラヘのアプローチ 階乗の計算①……ANT
bit 1970年08月号,28,雨音……中村汀女
bit 1970年08月号,29,コンピュータによる音声認識……阿部行信
bit 1970年08月号,33,ドクタービット
bit 1970年08月号,34,マン・マシン変奏曲……今飛雄太
bit 1970年08月号,36,シミュレーション言語③ 総説(3)――代表的なシミュレーション言語の仕様を調べ，その実施例を概観する……関根智明，若山邦紘，大瀬貴宏
bit 1970年08月号,44,単語帖
bit 1970年08月号,47,三次元関数の容姿② 特殊関数(1)――いろいろな特殊関数の興味深い性質を図形のうえで調べてみよう……森口繁一，高澤嘉光
bit 1970年08月号,54,立体ペントミノ……一松信
bit 1970年08月号,56,ぶっくす
bit 1970年08月号,58,アレフ・ゼロ――日本よ，どうする……J.A.
bit 1970年08月号,59,プログラムの理論へ② 正しいプログラム……虎門三十二
bit 1970年08月号,67,プログラマーのための統計入門⑧ 検定の実例――新しい商品のテストや評価は，どれだけ意味をもっているか……門山允
bit 1970年08月号,73,EDPすぽっと――情報処理用流れ図記号JIS C6270
bit 1970年08月号,74,船舶における情報処理――超自動化船の建造……今村宏
bit 1970年08月号,82,ナノピコ教室
bit 1970年08月号,85,素子の話⑥ ダイオードとトランジスタ(2)――トランジスタにはどんな種類があるか。3SA11などという意味は?……武藤時雄，伊ヶ崎泰宏
bit 1970年08月号,92,周辺は周辺ではない……aSk
bit 1970年08月号,96,コンピュータ・ニュース
bit 1970年08月号,98,ナノピコ教室解答(5月号)……野崎昭弘
bit 1970年08月号,100,読者の広場
bit 1970年08月号,102,コンピュータ紹介――NCRセンチュリーシリーズ
bit 1970年09月号,1,表紙
bit 1970年09月号,3,bit誌上展――コンピュータ・グラフィックス……多々良雅裕，中村敏明，今井貞三，国井睦子
bit 1970年09月号,9,目次
bit 1970年09月号,11,科学情報の処理……小谷正雄
bit 1970年09月号,12,コボル入門 繰越し計算⑥――請求書作成の実務を対象にコボルの機能をフルに活用してプログラムを作る……西村恕彦，植村俊亮
bit 1970年09月号,19,360アセンブラヘノアプローチ② 演算コードとレジスタ……ANT
bit 1970年09月号,29,哲学と人工言語……吉田夏彦
bit 1970年09月号,35,シミュレーション言語④ GPSS(1)――待ち行列型の代表的言語GPSSの機能と特性を具体例について知る……関根智明，若山邦紘，大瀬貴宏
bit 1970年09月号,44,アレフ・ゼロ――Quo Vadis?……J.A.
bit 1970年09月号,49,単語帖
bit 1970年09月号,50,人間－機械システム――サイボーグ社会への指向……加藤一郎
bit 1970年09月号,55,茶色の季節……真鍋博
bit 1970年09月号,56,コンピュータがとらえた人間像……渡辺敏之
bit 1970年09月号,58,ナノピコ教室
bit 1970年09月号,59,プログラマーのための統計入門⑨ 統計的決定理論――企業の意思決定に重要な役割を果たす統計的決定とは。新しい経営学の話題……門山允
bit 1970年09月号,69,三次元関数の容姿③ 特殊関数(2)――ベッセル関数などの立体図をプロットし，その特徴をビジュアルにとらえる……森口繁一，高澤嘉光
bit 1970年09月号,75,計算機で計算機を作る……元岡達
bit 1970年09月号,83,ナノピコ教室解答(6月号)……西村真一郎
bit 1970年09月号,87,プログラムの理論へ(完) 計算の複雑さ……虎門三十二
bit 1970年09月号,91,素子の話⑦ コンデンサ――集積回路の話に入る前に，その基礎となる受動素子(C，R，L)について考える……武藤時雄，伊ヶ崎泰宏
bit 1970年09月号,98,MIStory……今飛雄太
bit 1970年09月号,100,ぶっくす
bit 1970年09月号,102,コンピュータ・ニュース
bit 1970年09月号,104,コンピュータ紹介――IBMシステム/370
bit 1970年10月号,1,表紙
bit 1970年10月号,3,フィルム紹介――バブル・ドメインのふるまい
bit 1970年10月号,9,目次
bit 1970年10月号,11,独創と伝統……喜安善市
bit 1970年10月号,12,コボル入門⑦ 統計計算――販売統計のプログラム例によって，集計の手続きや分類の手法を学ぶ……西村恕彦，植村俊亮
bit 1970年10月号,19,都市問題へのアプローチ……石原舜介
